query_id,measure,value,sistema
Q001,MAP,0.0,Dense
Q001,Bpref,0.0,Dense
Q001,MRR,0.0,Dense
Q001,P@10,0.0,Dense
Q001,nDCG@10,0.0,Dense
Q002,MAP,0.0,Dense
Q002,Bpref,0.0,Dense
Q002,MRR,0.0,Dense
Q002,P@10,0.0,Dense
Q002,nDCG@10,0.0,Dense
Q003,MAP,0.11666666666666665,Dense
Q003,Bpref,0.32,Dense
Q003,MRR,0.25,Dense
Q003,P@10,0.2,Dense
Q003,nDCG@10,0.19928881659657144,Dense
Q004,MAP,0.01818181818181818,Dense
Q004,Bpref,0.039999999999999994,Dense
Q004,MRR,0.09090909090909091,Dense
Q004,P@10,0.0,Dense
Q004,nDCG@10,0.0,Dense
Q005,MAP,0.14285714285714285,Dense
Q005,Bpref,0.0,Dense
Q005,MRR,0.14285714285714285,Dense
Q005,P@10,0.1,Dense
Q005,nDCG@10,0.3333333333333333,Dense
Q006,MAP,0.0,Dense
Q006,Bpref,0.0,Dense
Q006,MRR,0.0,Dense
Q006,P@10,0.0,Dense
Q006,nDCG@10,0.0,Dense
Q007,MAP,0.0,Dense
Q007,Bpref,0.0,Dense
Q007,MRR,0.0,Dense
Q007,P@10,0.0,Dense
Q007,nDCG@10,0.0,Dense
Q008,MAP,0.125,Dense
Q008,Bpref,0.5,Dense
Q008,MRR,0.25,Dense
Q008,P@10,0.1,Dense
Q008,nDCG@10,0.16369747519436975,Dense
Q009,MAP,0.0,Dense
Q009,Bpref,0.0,Dense
Q009,MRR,0.0,Dense
Q009,P@10,0.0,Dense
Q009,nDCG@10,0.0,Dense
Q010,MAP,0.0,Dense
Q010,Bpref,0.0,Dense
Q010,MRR,0.0,Dense
Q010,P@10,0.0,Dense
Q010,nDCG@10,0.0,Dense
Q011,MAP,0.03571428571428571,Dense
Q011,Bpref,0.0,Dense
Q011,MRR,0.07142857142857142,Dense
Q011,P@10,0.0,Dense
Q011,nDCG@10,0.0,Dense
Q012,MAP,0.0,Dense
Q012,Bpref,0.0,Dense
Q012,MRR,0.0,Dense
Q012,P@10,0.0,Dense
Q012,nDCG@10,0.0,Dense
Q013,MAP,0.75,Dense
Q013,Bpref,1.0,Dense
Q013,MRR,1.0,Dense
Q013,P@10,0.2,Dense
Q013,nDCG@10,0.7074887171046738,Dense
Q014,MAP,0.0,Dense
Q014,Bpref,0.0,Dense
Q014,MRR,0.0,Dense
Q014,P@10,0.0,Dense
Q014,nDCG@10,0.0,Dense
Q015,MAP,0.0,Dense
Q015,Bpref,0.0,Dense
Q015,MRR,0.0,Dense
Q015,P@10,0.0,Dense
Q015,nDCG@10,0.0,Dense
Q016,MAP,0.0,Dense
Q016,Bpref,0.0,Dense
Q016,MRR,0.0,Dense
Q016,P@10,0.0,Dense
Q016,nDCG@10,0.0,Dense
Q017,MAP,0.18269230769230768,Dense
Q017,Bpref,0.22485207100591717,Dense
Q017,MRR,1.0,Dense
Q017,P@10,0.3,Dense
Q017,nDCG@10,0.4080157475003957,Dense
Q018,MAP,0.02222222222222222,Dense
Q018,Bpref,0.06666666666666667,Dense
Q018,MRR,0.3333333333333333,Dense
Q018,P@10,0.1,Dense
Q018,nDCG@10,0.09019475927038985,Dense
Q019,MAP,0.020833333333333332,Dense
Q019,Bpref,0.06944444444444445,Dense
Q019,MRR,0.25,Dense
Q019,P@10,0.1,Dense
Q019,nDCG@10,0.15537907391531905,Dense
Q020,MAP,0.027777777777777776,Dense
Q020,Bpref,0.08333333333333333,Dense
Q020,MRR,0.3333333333333333,Dense
Q020,P@10,0.1,Dense
Q020,nDCG@10,0.1803895185407797,Dense
Q021,MAP,0.10984848484848485,Dense
Q021,Bpref,0.13636363636363635,Dense
Q021,MRR,1.0,Dense
Q021,P@10,0.3,Dense
Q021,nDCG@10,0.5286633333096088,Dense
Q022,MAP,0.0,Dense
Q022,Bpref,0.0,Dense
Q022,MRR,0.0,Dense
Q022,P@10,0.0,Dense
Q022,nDCG@10,0.0,Dense
Q023,MAP,0.0,Dense
Q023,Bpref,0.0,Dense
Q023,MRR,0.0,Dense
Q023,P@10,0.0,Dense
Q023,nDCG@10,0.0,Dense
Q024,MAP,0.1,Dense
Q024,Bpref,0.2,Dense
Q024,MRR,0.5,Dense
Q024,P@10,0.2,Dense
Q024,nDCG@10,0.30531576591727555,Dense
Q025,MAP,0.06912280701754385,Dense
Q025,Bpref,0.3,Dense
Q025,MRR,0.2,Dense
Q025,P@10,0.2,Dense
Q025,nDCG@10,0.19829627760955112,Dense
Q026,MAP,0.0,Dense
Q026,Bpref,0.0,Dense
Q026,MRR,0.0,Dense
Q026,P@10,0.0,Dense
Q026,nDCG@10,0.0,Dense
Q027,MAP,0.05,Dense
Q027,Bpref,0.25,Dense
Q027,MRR,0.2,Dense
Q027,P@10,0.1,Dense
Q027,nDCG@10,0.10861750945625488,Dense
Q028,MAP,0.008928571428571428,Dense
Q028,Bpref,0.0625,Dense
Q028,MRR,0.14285714285714285,Dense
Q028,P@10,0.1,Dense
Q028,nDCG@10,0.07336392209936005,Dense
Q029,MAP,0.09545454545454546,Dense
Q029,Bpref,0.13636363636363635,Dense
Q029,MRR,1.0,Dense
Q029,P@10,0.3,Dense
Q029,nDCG@10,0.40002324830925196,Dense
Q030,MAP,0.0,Dense
Q030,Bpref,0.0,Dense
Q030,MRR,0.0,Dense
Q030,P@10,0.0,Dense
Q030,nDCG@10,0.0,Dense
Q031,MAP,0.19642857142857142,Dense
Q031,Bpref,0.20918367346938777,Dense
Q031,MRR,1.0,Dense
Q031,P@10,0.3,Dense
Q031,nDCG@10,0.4537425745411855,Dense
Q032,MAP,0.5066236720750327,Dense
Q032,Bpref,0.6842105263157895,Dense
Q032,MRR,1.0,Dense
Q032,P@10,0.7,Dense
Q032,nDCG@10,0.7381919257729245,Dense
Q033,MAP,0.0,Dense
Q033,Bpref,0.0,Dense
Q033,MRR,0.0,Dense
Q033,P@10,0.0,Dense
Q033,nDCG@10,0.0,Dense
Q034,MAP,0.0,Dense
Q034,Bpref,0.0,Dense
Q034,MRR,0.0,Dense
Q034,P@10,0.0,Dense
Q034,nDCG@10,0.0,Dense
Q035,MAP,0.0,Dense
Q035,Bpref,0.0,Dense
Q035,MRR,0.0,Dense
Q035,P@10,0.0,Dense
Q035,nDCG@10,0.0,Dense
Q036,MAP,0.13857142857142857,Dense
Q036,Bpref,0.5,Dense
Q036,MRR,0.25,Dense
Q036,P@10,0.3,Dense
Q036,nDCG@10,0.23440650992329987,Dense
Q037,MAP,0.018181818181818184,Dense
Q037,Bpref,0.09090909090909091,Dense
Q037,MRR,0.2,Dense
Q037,P@10,0.1,Dense
Q037,nDCG@10,0.08514311764162098,Dense
Q038,MAP,0.0,Dense
Q038,Bpref,0.0,Dense
Q038,MRR,0.0,Dense
Q038,P@10,0.0,Dense
Q038,nDCG@10,0.0,Dense
Q039,MAP,0.0,Dense
Q039,Bpref,0.0,Dense
Q039,MRR,0.0,Dense
Q039,P@10,0.0,Dense
Q039,nDCG@10,0.0,Dense
Q040,MAP,0.013888888888888888,Dense
Q040,Bpref,0.06666666666666667,Dense
Q040,MRR,0.16666666666666666,Dense
Q040,P@10,0.2,Dense
Q040,nDCG@10,0.1478294909154526,Dense
Q041,MAP,0.0,Dense
Q041,Bpref,0.0,Dense
Q041,MRR,0.0,Dense
Q041,P@10,0.0,Dense
Q041,nDCG@10,0.0,Dense
Q042,MAP,0.002403846153846154,Dense
Q042,Bpref,0.03125,Dense
Q042,MRR,0.07692307692307693,Dense
Q042,P@10,0.0,Dense
Q042,nDCG@10,0.0,Dense
Q043,MAP,0.030864197530864196,Dense
Q043,Bpref,0.07407407407407407,Dense
Q043,MRR,0.3333333333333333,Dense
Q043,P@10,0.2,Dense
Q043,nDCG@10,0.20483424751859086,Dense
Q044,MAP,0.005208333333333333,Dense
Q044,Bpref,0.041666666666666664,Dense
Q044,MRR,0.125,Dense
Q044,P@10,0.1,Dense
Q044,nDCG@10,0.06943122193677727,Dense
Q045,MAP,0.2222222222222222,Dense
Q045,Bpref,0.3333333333333333,Dense
Q045,MRR,1.0,Dense
Q045,P@10,0.3,Dense
Q045,nDCG@10,0.42332408484280865,Dense
Q046,MAP,0.0,Dense
Q046,Bpref,0.0,Dense
Q046,MRR,0.0,Dense
Q046,P@10,0.0,Dense
Q046,nDCG@10,0.0,Dense
Q047,MAP,0.25,Dense
Q047,Bpref,0.25,Dense
Q047,MRR,1.0,Dense
Q047,P@10,0.1,Dense
Q047,nDCG@10,0.42620876477116804,Dense
Q048,MAP,0.0,Dense
Q048,Bpref,0.0,Dense
Q048,MRR,0.0,Dense
Q048,P@10,0.0,Dense
Q048,nDCG@10,0.0,Dense
Q049,MAP,0.0,Dense
Q049,Bpref,0.0,Dense
Q049,MRR,0.0,Dense
Q049,P@10,0.0,Dense
Q049,nDCG@10,0.0,Dense
Q050,MAP,0.0,Dense
Q050,Bpref,0.0,Dense
Q050,MRR,0.0,Dense
Q050,P@10,0.0,Dense
Q050,nDCG@10,0.0,Dense
