Sistema 1,Sistema 2,Métrica,Média S1,Média S2,Melhor,W,p-valor,Sig α=0.05,Sig Bonf.
BM25,TF-IDF,nDCG@10,0.4767,0.4293,BM25,100.0,0.01106,Sim,Não
BM25,TF-IDF,MAP,0.3603,0.3244,BM25,258.0,0.15837,Não,Não
BM25,TF-IDF,MRR,0.6091,0.566,BM25,89.5,0.36568,Não,Não
BM25,TF-IDF,P@10,0.302,0.298,BM25,35.0,0.75164,Não,Não
BM25,TF-IDF,Bpref,0.3374,0.2764,BM25,122.0,0.10746,Não,Não
BM25,Dense,nDCG@10,0.4767,0.1327,BM25,87.0,0.0,Sim,Sim
BM25,Dense,MAP,0.3603,0.0652,BM25,75.0,0.0,Sim,Sim
BM25,Dense,MRR,0.6091,0.2383,BM25,112.0,3e-05,Sim,Sim
BM25,Dense,P@10,0.302,0.094,BM25,89.5,1e-05,Sim,Sim
BM25,Dense,Bpref,0.3374,0.1134,BM25,131.0,6e-05,Sim,Sim
TF-IDF,Dense,nDCG@10,0.4293,0.1327,TF-IDF,104.0,0.0,Sim,Sim
TF-IDF,Dense,MAP,0.3244,0.0652,TF-IDF,73.5,0.0,Sim,Sim
TF-IDF,Dense,MRR,0.566,0.2383,TF-IDF,107.5,3e-05,Sim,Sim
TF-IDF,Dense,P@10,0.298,0.094,TF-IDF,101.5,2e-05,Sim,Sim
TF-IDF,Dense,Bpref,0.2764,0.1134,TF-IDF,131.5,0.00053,Sim,Sim
