Intent,Sistema,N,nDCG@10,MAP,MRR,P@10
album,BM25,6,0.2626,0.1796,0.4583,0.15
album,TF-IDF,6,0.2267,0.2494,0.491,0.15
album,Dense,6,0.1416,0.0787,0.3333,0.0667
artist,BM25,10,0.2327,0.159,0.4278,0.23
artist,TF-IDF,10,0.2304,0.1781,0.4558,0.21
artist,Dense,10,0.1985,0.0964,0.3593,0.18
genre,BM25,7,0.9699,0.6821,1.0,0.9714
genre,TF-IDF,7,0.9206,0.6531,0.9048,0.9429
genre,Dense,7,0.0603,0.0075,0.1003,0.0714
lyric,BM25,15,0.6348,0.5967,0.673,0.16
lyric,TF-IDF,15,0.5064,0.452,0.4979,0.16
lyric,Dense,15,0.0936,0.0792,0.1203,0.04
track,BM25,12,0.3019,0.1351,0.5278,0.225
track,TF-IDF,12,0.3133,0.1326,0.5828,0.2417
track,Dense,12,0.1646,0.0485,0.3181,0.1167
